,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,State,CountyName,rent0,rent1,rent2,rent3,rent4
0,23254,1656,706,618,710,403,643,596,686,547,1303,1853,2929,1954,1456,2219,4975,11201,2011,36,Kings County,1530,1630,1840,2280,2520
1,27145,2740,1244,1525,1486,1352,1158,1397,1453,1449,1876,2761,3418,2316,1410,994,566,11203,2011,36,Kings County,1040,1110,1250,1550,1720
2,24979,1939,1920,1705,1564,1580,1373,1333,1223,1038,2025,2536,2655,1572,900,1043,573,11204,2011,36,Kings County,1070,1140,1290,1600,1770
3,14033,2131,1017,874,866,659,614,488,570,324,889,1193,1255,1160,581,640,772,11205,2011,36,Kings County,1170,1250,1410,1750,1930
4,27668,5551,2800,2612,1950,1551,1643,1079,1405,1172,1669,1675,1911,1170,753,478,249,11206,2011,36,Kings County,1040,1110,1250,1550,1720
5,30553,5927,2575,1986,2052,1497,2044,1716,1343,1242,2043,2653,2583,1378,760,537,217,11207,2011,36,Kings County,1040,1110,1250,1550,1720
6,28945,5522,1978,1881,1814,1384,1769,1605,1589,1046,2487,2448,2262,1312,791,598,459,11208,2011,36,Kings County,1090,1160,1310,1620,1800
7,30920,2344,1402,1319,1570,1452,1085,1412,1511,1382,2573,2804,3796,2488,1552,2186,2044,11209,2011,36,Kings County,1150,1220,1380,1710,1890
8,21806,1898,1106,846,1105,990,1254,922,1178,1039,1913,2103,2554,1750,1068,1246,834,11210,2011,36,Kings County,1040,1110,1250,1550,1720
9,33228,4198,3076,2398,1686,1615,1353,1375,1522,1079,2256,2786,3657,2310,1463,1267,1187,11211,2011,36,Kings County,1240,1320,1490,1850,2040
10,30024,6678,3026,2311,1908,2227,1770,1611,1118,1222,2124,2238,1805,945,401,465,175,11212,2011,36,Kings County,1040,1110,1250,1550,1720
11,23257,4364,2028,1668,1239,1487,1060,1420,1125,1004,1665,1960,1903,980,604,516,234,11213,2011,36,Kings County,1040,1110,1250,1550,1720
12,29828,2460,2556,2026,1927,2240,1946,1818,1666,1310,2364,2557,2835,1876,967,874,406,11214,2011,36,Kings County,1040,1110,1250,1550,1720
13,28524,1349,808,806,701,421,950,480,885,938,2097,2614,3464,3114,2255,2974,4668,11215,2011,36,Kings County,1530,1630,1840,2280,2520
14,22274,3253,1734,1255,1175,1273,1220,1175,1310,946,1869,2043,1944,1335,767,571,404,11216,2011,36,Kings County,1040,1110,1250,1550,1720
15,16871,1405,775,580,692,659,597,439,544,443,1127,1210,1699,1497,1120,1531,2553,11217,2011,36,Kings County,1460,1560,1760,2180,2410
16,25497,1924,1790,1819,1315,1174,1292,1171,1241,836,1880,2712,3090,1803,1193,1230,1027,11218,2011,36,Kings County,1120,1190,1350,1670,1850
17,26541,2603,2560,2402,1900,1910,1953,1348,1477,997,1979,2031,2030,1371,664,739,577,11219,2011,36,Kings County,1050,1120,1270,1570,1740
18,30643,3412,2601,2309,2349,2028,1709,1648,1607,1150,2470,2793,2562,1619,973,823,590,11220,2011,36,Kings County,1070,1140,1290,1600,1770
19,27089,4485,2010,1894,1755,1740,1188,1252,1279,1300,2016,2666,2293,1389,901,693,228,11221,2011,36,Kings County,1040,1110,1250,1550,1720
20,16069,1404,748,635,716,662,828,602,799,471,1098,1756,2572,1371,849,891,667,11222,2011,36,Kings County,1180,1260,1420,1760,1950
21,26837,2325,1897,1625,2012,1778,1883,1693,1439,1074,2266,2434,2538,1509,911,704,749,11223,2011,36,Kings County,1040,1110,1250,1550,1720
22,18734,3339,1858,1170,1432,1135,1105,831,1150,628,1438,1289,1433,702,644,351,229,11224,2011,36,Kings County,1040,1110,1250,1550,1720
23,23059,2468,1694,1324,1683,1410,1427,1429,1292,958,2050,2226,2110,977,795,745,471,11225,2011,36,Kings County,1040,1110,1250,1550,1720
24,36367,4522,2525,2452,2097,2206,2716,1869,1911,1616,3355,3635,3462,1781,867,857,496,11226,2011,36,Kings County,1040,1110,1250,1550,1720
25,14973,706,770,783,663,888,769,547,666,462,1274,1515,1798,1289,1152,1037,654,11228,2011,36,Kings County,1140,1210,1370,1700,1880
26,29950,3286,2009,1544,2077,1280,1421,1181,1367,1136,2011,2746,3357,2237,1734,1569,995,11229,2011,36,Kings County,1040,1110,1250,1550,1720
27,30012,4031,1983,2102,1641,1549,1490,1187,1298,1022,2229,2868,2970,2253,1318,1100,971,11230,2011,36,Kings County,1100,1170,1320,1640,1810
28,15281,1339,1072,434,589,600,354,413,390,393,1050,1239,1711,1530,1091,1243,1833,11231,2011,36,Kings County,1640,1740,1970,2440,2700
29,8658,1012,322,663,717,565,632,501,495,306,564,854,958,455,267,169,178,11232,2011,36,Kings County,1120,1190,1350,1670,1850
30,25595,5154,2182,1626,1274,1405,1226,1337,1364,1094,1956,1575,2333,1207,808,536,518,11233,2011,36,Kings County,1040,1110,1250,1550,1720
31,31874,1900,969,1179,1387,1243,1303,1314,1414,1057,2441,2980,4625,3780,2266,2401,1615,11234,2011,36,Kings County,1190,1260,1430,1770,1960
32,30792,4819,2296,1517,1567,1885,1616,1055,1168,1085,1878,2194,3506,2209,1318,1511,1168,11235,2011,36,Kings County,1040,1110,1250,1550,1720
33,31109,2492,996,1235,1119,1380,1422,1236,1107,1670,2469,3593,4950,2993,1872,1732,843,11236,2011,36,Kings County,1170,1250,1410,1750,1930
34,16134,2274,1335,1058,1050,847,1096,756,1134,873,1543,1374,1504,562,336,188,204,11237,2011,36,Kings County,1040,1110,1250,1550,1720
35,22826,2050,1133,992,981,868,973,989,844,719,1591,2134,3063,1944,1634,1593,1318,11238,2011,36,Kings County,1200,1270,1440,1780,1980
36,6436,1492,808,734,259,399,333,183,305,366,483,547,319,85,37,30,56,11239,2011,36,Kings County,1040,1110,1250,1550,1720
37,23739,1590,795,671,714,529,725,561,593,642,1313,1772,2611,2234,1546,2417,5026,11201,2012,36,Kings County,1500,1640,1870,2360,2860
38,27143,2759,1336,1523,1675,1285,1101,1339,1515,1310,1726,2804,3473,2301,1374,1123,499,11203,2012,36,Kings County,980,1070,1220,1540,1860
39,25084,1826,1778,2072,1386,1523,1246,1284,1407,1043,1938,2513,2521,1642,1089,1178,638,11204,2012,36,Kings County,1050,1150,1310,1650,2000
40,14397,2141,1194,879,898,811,583,417,576,294,759,1204,1330,921,804,720,866,11205,2012,36,Kings County,1150,1260,1440,1820,2200
41,27918,5091,2984,2587,2136,1630,1801,1178,1317,1104,1803,1799,1898,1167,758,389,276,11206,2012,36,Kings County,890,970,1110,1400,1690
42,31008,6353,2535,1937,1949,1661,1750,1606,1614,1240,2205,2481,2518,1614,815,543,187,11207,2012,36,Kings County,990,1090,1240,1560,1890
43,28787,5551,1985,2041,1524,1343,1718,1769,1760,819,2266,2658,2113,1408,845,581,406,11208,2012,36,Kings County,1060,1160,1330,1680,2030
44,30994,2171,1401,1470,1608,1636,1064,1298,1438,1382,2567,2686,3981,2485,1502,2391,1914,11209,2012,36,Kings County,1120,1230,1400,1770,2140
45,21690,1714,1161,982,957,878,1163,1014,1082,1022,2017,2063,2714,1531,1042,1384,966,11210,2012,36,Kings County,980,1070,1220,1540,1860
46,34079,4318,3290,2470,1537,1599,1359,1304,1370,1110,2033,2969,3384,2566,1404,1665,1701,11211,2012,36,Kings County,1210,1320,1510,1900,2310
47,29857,6342,3194,2358,1651,2019,1828,1630,1230,1064,2213,2113,1918,1123,548,429,197,11212,2012,36,Kings County,940,1030,1180,1490,1800
48,23229,3921,2294,1442,1393,1234,1222,1433,1277,876,1734,1910,2043,960,678,531,281,11213,2012,36,Kings County,940,1030,1180,1490,1800
49,30214,2685,2365,1895,1803,2318,1858,1758,1654,1131,2469,2886,2860,1918,1146,968,500,11214,2012,36,Kings County,1000,1090,1250,1580,1910
50,28558,1259,746,667,711,393,827,648,913,898,1977,2560,3588,3078,2398,3168,4727,11215,2012,36,Kings County,1500,1640,1870,2360,2860
