,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,StateName,CountyName,rent0,rent1,rent2,rent3,rent4,Rent_Mean
0,23739,1590,795,671,714,529,725,561,593,642,1313,1772,2611,2234,1546,2417,5026,11201,2012,New York,Kings County,1500,1640,1870,2360,2860,2046.0
1,27143,2759,1336,1523,1675,1285,1101,1339,1515,1310,1726,2804,3473,2301,1374,1123,499,11203,2012,New York,Kings County,980,1070,1220,1540,1860,1334.0
2,25084,1826,1778,2072,1386,1523,1246,1284,1407,1043,1938,2513,2521,1642,1089,1178,638,11204,2012,New York,Kings County,1050,1150,1310,1650,2000,1432.0
3,14397,2141,1194,879,898,811,583,417,576,294,759,1204,1330,921,804,720,866,11205,2012,New York,Kings County,1150,1260,1440,1820,2200,1574.0
4,27918,5091,2984,2587,2136,1630,1801,1178,1317,1104,1803,1799,1898,1167,758,389,276,11206,2012,New York,Kings County,890,970,1110,1400,1690,1212.0
5,31008,6353,2535,1937,1949,1661,1750,1606,1614,1240,2205,2481,2518,1614,815,543,187,11207,2012,New York,Kings County,990,1090,1240,1560,1890,1354.0
6,28787,5551,1985,2041,1524,1343,1718,1769,1760,819,2266,2658,2113,1408,845,581,406,11208,2012,New York,Kings County,1060,1160,1330,1680,2030,1452.0
7,30994,2171,1401,1470,1608,1636,1064,1298,1438,1382,2567,2686,3981,2485,1502,2391,1914,11209,2012,New York,Kings County,1120,1230,1400,1770,2140,1532.0
8,21690,1714,1161,982,957,878,1163,1014,1082,1022,2017,2063,2714,1531,1042,1384,966,11210,2012,New York,Kings County,980,1070,1220,1540,1860,1334.0
9,34079,4318,3290,2470,1537,1599,1359,1304,1370,1110,2033,2969,3384,2566,1404,1665,1701,11211,2012,New York,Kings County,1210,1320,1510,1900,2310,1650.0
10,29857,6342,3194,2358,1651,2019,1828,1630,1230,1064,2213,2113,1918,1123,548,429,197,11212,2012,New York,Kings County,940,1030,1180,1490,1800,1288.0
11,23229,3921,2294,1442,1393,1234,1222,1433,1277,876,1734,1910,2043,960,678,531,281,11213,2012,New York,Kings County,940,1030,1180,1490,1800,1288.0
12,30214,2685,2365,1895,1803,2318,1858,1758,1654,1131,2469,2886,2860,1918,1146,968,500,11214,2012,New York,Kings County,1000,1090,1250,1580,1910,1366.0
13,28558,1259,746,667,711,393,827,648,913,898,1977,2560,3588,3078,2398,3168,4727,11215,2012,New York,Kings County,1500,1640,1870,2360,2860,2046.0
14,22780,3219,1811,1212,1236,1203,1326,880,1362,1009,1821,2270,2156,1364,782,665,464,11216,2012,New York,Kings County,970,1060,1210,1530,1850,1324.0
15,16624,1303,673,607,616,730,562,461,465,379,1045,1169,1745,1556,1267,1671,2375,11217,2012,New York,Kings County,1430,1570,1790,2260,2730,1956.0
16,24853,1911,1807,1490,1571,1127,1319,842,1043,887,1490,2583,3153,1863,1149,1463,1155,11218,2012,New York,Kings County,1100,1200,1370,1730,2090,1498.0
17,26693,2465,2596,2194,2240,1944,2040,1501,1428,1028,1727,2170,2032,1342,771,724,491,11219,2012,New York,Kings County,1030,1130,1290,1630,1970,1410.0
18,30235,3318,2582,2228,2418,2094,1450,1399,1772,1205,2085,2988,2586,1851,810,747,702,11220,2012,New York,Kings County,1050,1150,1310,1650,2000,1432.0
19,27635,4493,1939,2078,1770,1818,1055,1254,1171,1356,2044,2805,2446,1453,834,758,361,11221,2012,New York,Kings County,1010,1100,1260,1590,1920,1376.0
20,16156,1355,773,663,610,653,867,501,625,458,1183,1894,2461,1381,933,1039,760,11222,2012,New York,Kings County,1150,1260,1440,1820,2200,1574.0
21,26973,2430,1868,1686,2019,1635,1819,1705,1634,1037,2218,2385,2479,1597,859,800,802,11223,2012,New York,Kings County,1010,1100,1260,1590,1920,1376.0
