,bath,bed,furnished,price,size,street,where
0,1 bath,1.5 beds,0,"$2,500",,93 Greenpoint Avenue #2R,Greenpoint
1,1 bath,2 beds,0,"$2,370","1,300 ft²",230 Hancock Street #1,Bedford-Stuyvesant
2,2 baths,2 beds,0,"$5,295","1,052 ft²",429 Kent Avenue #305,Williamsburg
3,1 bath,1 bed,0,"$3,600",766 ft²,429 Kent Avenue #306,Williamsburg
4,1 bath,2 beds,0,"$2,000",900 ft²,1028 Bergen Street #4,
5,2 baths,2 beds,0,"$2,650","1,000 ft²",834 Saint Marks Avenue #3,
6,2 baths,3 beds,0,"$4,069",,70 Bushwick Avenue #2B,Williamsburg
7,2 baths,3 beds,0,"$3,894",,70 Bushwick Avenue #5D,Williamsburg
8,1 bath,2 beds,0,"$2,750",,132 Norman Avenue #2L,Greenpoint
9,1 bath,2 beds,0,"$2,625",,47 Clifton Place #4A,
10,1 bath,1 bed,0,"$2,700",,103 Freeman Street #2F,Greenpoint
11,1 bath,3 beds,0,"$4,800","1,400 ft²",478 3rd Street #2L,Park Slope
12,1 bath,1 bed,0,"$2,500",900 ft²,463 4th Street #2L,Park Slope
13,1 bath,1 bed,0,"$1,750",,1865 Burnett Street #16A,
14,1 bath,2 beds,0,"$4,200",,301 Hicks Street #3,Brooklyn Heights
15,2 baths,2 beds,0,"$5,100","1,052 ft²",429 Kent Avenue #705,Williamsburg
16,1 bath,2 beds,0,"$4,500","1,400 ft²",27 8th Avenue #3C,Park Slope
17,1 bath,3 beds,0,"$1,995",,741 Dekalb Avenue #1D,Bedford-Stuyvesant
18,1 bath,2 beds,0,"$3,400",900 ft²,453 4th Street #2R,Park Slope
19,1 bath,3 beds,0,"$3,750","1,100 ft²",84 Sterling Place #1R,Park Slope
20,1 bath,2 beds,0,"$2,200",,147 Stuyvesant Avenue #2,
21,1.5 baths,,0,"$4,750","1,082 ft²",360 Furman Street #535,Brooklyn Heights
22,1 bath,2 beds,0,"$2,800","1,000 ft²",183 7th Avenue #2R,Park Slope
23,1 bath,1 bed,0,"$2,300",600 ft²,316 7th Avenue #2R,Park Slope
24,1 bath,2 beds,0,"$1,799",,2149 Cortelyou Rd #2D,
25,1 bath,1 bed,0,"$2,395",,924 Metropolitan Avenue #206,
26,1 bath,4 beds,0,"$3,200",,1233 Flatbush Avenue #2,
27,1 bath,3 beds,0,"$2,995",,110 North Henry Street #2B,Greenpoint
28,2 baths,2 beds,0,"$3,067",,180 Franklin Avenue #424,Bedford-Stuyvesant
29,1 bath,1 bed,0,"$2,700",636 ft²,15 Dunham Place #6J,Williamsburg
30,1 bath,,0,"$1,200",,112 32nd Street #4,
31,1.5 baths,3 beds,0,"$2,695",,116 Leonard Street #1,Williamsburg
32,1 bath,2 beds,0,"$2,595",,258 Stagg Street #2R,
33,1 bath,2 beds,0,"$2,795",,164 Havemeyer Street #19,Williamsburg
34,1 bath,2 beds,0,"$2,250",,601 East 18th Street #710,
35,1 bath,1 bed,0,"$3,000",950 ft²,68 Conselyea Street #3,Williamsburg
36,1 bath,2 beds,0,"$2,199",,1274 Pacific Street #5,
37,1 bath,,0,"$1,500",,88 Herkimer Street #XIV,Bedford-Stuyvesant
38,1 bath,1 bed,0,"$2,500",,175 Adams Street 8-F #8F,
39,1 bath,2 beds,0,"$2,350",,61 Village Road North #A3,
40,1 bath,1 bed,0,"$2,099",,1094 Greene Avenue #2,Bushwick
41,1 bath,1 bed,0,"$2,200",550 ft²,182 5th Avenue #3F,Park Slope
42,2 baths,3 beds,0,"$4,750",,363 Prospect Place #3D,Prospect Heights
43,2.5 baths,3 beds,0,"$9,995","1,725 ft²",360 Furman Street #429,Brooklyn Heights
44,1 bath,3 beds,0,"$3,000",,23 Meserole Street #1L,Williamsburg
45,1 bath,,0,"$2,600",414 ft²,146 South 4th Street #7G,Williamsburg
46,1 bath,1 bed,0,"$1,699",,1151  Brighton Beach Avenue #4E,
47,1 bath,2 beds,0,"$2,499",800 ft²,1138 Sterling Place #3,
48,1 bath,1 bed,0,"$2,350",,510 President Street #2,
49,1 bath,2 beds,0,"$2,900",,710 Degraw Street #3,Park Slope
50,2 baths,3 beds,0,"$5,525","1,450 ft²",77 Downing #1,
51,,,0,"$2,000",,187 Bedford Avenue #9,Williamsburg
52,1 bath,1 bed,0,"$1,575",705 ft²,1704 East 15th Street #2D,
53,1 bath,2 beds,0,"$1,925",,585 East 21st Street,
54,1 bath,2 beds,0,"$2,100",,436 Bleecker Street #3L,Bushwick
55,1 bath,3 beds,0,"$3,100",,444 Suydam #2F,Bushwick
56,1 bath,2 beds,0,"$2,850",,301 Sullivan Place #5H,
57,1 bath,,0,"$2,888",610 ft²,66 Rockwell Place #36C,Fort Greene
58,1 bath,1 bed,0,"$1,600",700 ft²,1704 East 15th Street #1C,
59,1 bath,3 beds,0,"$3,100",,444 Suydam #2B,Bushwick
60,1 bath,2 beds,0,"$2,500",,444 Suydam #1F,Bushwick
61,1 bath,2 beds,0,"$2,500",,444 Suydam #1B,Bushwick
62,2 baths,2 beds,0,"$2,499",,2 West End Avenue #3R,
63,2 baths,4 beds,0,"$5,000",,403 Hewes Street #1E,Williamsburg
64,1.5 baths,3 beds,0,"$3,999",,327 Melrose Street #3R,Bushwick
65,1 bath,3 beds,0,"$2,098",,1250 Herkimer #3,Bedford-Stuyvesant
66,1 bath,3 beds,0,"$3,300",,164 Newton Street #3,Greenpoint
67,1 bath,1 bed,0,"$1,395",,1789 Ocean Avenue #2,
68,1 bath,2 beds,0,"$2,350",,490 Ocean Parkway #67,
69,1 bath,1 bed,0,"$2,300",650 ft²,376 Franklin Avenue #4D,Bedford-Stuyvesant
70,2 baths,2 beds,0,"$4,671",,50 North 5th Street #5OW,Williamsburg
71,1 bath,2 beds,0,"$5,000",,50 Pierrepont Street #3,Brooklyn Heights
72,1 bath,1 bed,0,"$1,699",,2510 Ocean Parkway #6K,
73,1 bath,2 beds,0,"$2,475",,518 4th Avenue #2F,
74,2 baths,3 beds,0,"$2,200","1,300 ft²",1925 Ocean Avenue #5B,
75,1 bath,2 beds,0,"$1,800",,194 Ralph Avenue #3B,
76,1 bath,2 beds,0,"$2,500",750 ft²,35 N Henry Street #5B,Greenpoint
77,2 baths,3 beds,0,"$2,800",,283-285 Albany Avenue #6D,
78,1 bath,3 beds,0,"$2,098",,1250 Herkimer #2,Bedford-Stuyvesant
79,1 bath,1 bed,0,"$1,999",800 ft²,1138 Sterling Place #2,
80,1 bath,1 bed,0,"$2,600",,605 Carroll Street 1STFLOOR,Park Slope
81,1 bath,1.5 beds,0,"$2,349",,120A Bainbridge Street #3,
82,1 bath,1 bed,0,"$1,699",,2510 Ocean Parkway #7K,
83,1 bath,2 beds,0,"$2,700",800 ft²,128 Greene Avenue #4A,
84,,1 bed,1,"$2,400",640 ft²,228 Bushwick Avenue #6A,Williamsburg
85,1 bath,,0,"$2,311",510 ft²,66 Rockwell Place #27D,Fort Greene
86,2 baths,3 beds,0,"$2,999",,397 Herkimer #1,Bedford-Stuyvesant
87,1 bath,1 bed,0,"$1,650",,873 Saint Johns Place #8,
88,1 bath,2 beds,0,"$1,950",,786 Jefferson Avenue #2,
