,state,CountyName,rent0,rent1,rent2,rent3,rent4,ZIP,Rent_Mean,year
12321,36,Kings County,1060,1130,1280,1590,1760,10016,1364.0,2011
12322,36,Kings County,1530,1630,1840,2280,2520,11201,1960.0,2011
12323,36,Kings County,1040,1110,1250,1550,1720,11203,1334.0,2011
12324,36,Kings County,1070,1140,1290,1600,1770,11204,1374.0,2011
12325,36,Kings County,1170,1250,1410,1750,1930,11205,1502.0,2011
12326,36,Kings County,1040,1110,1250,1550,1720,11206,1334.0,2011
12327,36,Kings County,1040,1110,1250,1550,1720,11207,1334.0,2011
12328,36,Kings County,1090,1160,1310,1620,1800,11208,1396.0,2011
12329,36,Kings County,1150,1220,1380,1710,1890,11209,1470.0,2011
12330,36,Kings County,1040,1110,1250,1550,1720,11210,1334.0,2011
12331,36,Kings County,1240,1320,1490,1850,2040,11211,1588.0,2011
12332,36,Kings County,1040,1110,1250,1550,1720,11212,1334.0,2011
12333,36,Kings County,1040,1110,1250,1550,1720,11213,1334.0,2011
12334,36,Kings County,1040,1110,1250,1550,1720,11214,1334.0,2011
12335,36,Kings County,1530,1630,1840,2280,2520,11215,1960.0,2011
12336,36,Kings County,1040,1110,1250,1550,1720,11216,1334.0,2011
12337,36,Kings County,1460,1560,1760,2180,2410,11217,1874.0,2011
12338,36,Kings County,1120,1190,1350,1670,1850,11218,1436.0,2011
12339,36,Kings County,1050,1120,1270,1570,1740,11219,1350.0,2011
12340,36,Kings County,1070,1140,1290,1600,1770,11220,1374.0,2011
12341,36,Kings County,1040,1110,1250,1550,1720,11221,1334.0,2011
12342,36,Kings County,1180,1260,1420,1760,1950,11222,1514.0,2011
12343,36,Kings County,1040,1110,1250,1550,1720,11223,1334.0,2011
12344,36,Kings County,1040,1110,1250,1550,1720,11224,1334.0,2011
12345,36,Kings County,1040,1110,1250,1550,1720,11225,1334.0,2011
12346,36,Kings County,1040,1110,1250,1550,1720,11226,1334.0,2011
12347,36,Kings County,1140,1210,1370,1700,1880,11228,1460.0,2011
12348,36,Kings County,1040,1110,1250,1550,1720,11229,1334.0,2011
12349,36,Kings County,1100,1170,1320,1640,1810,11230,1408.0,2011
12350,36,Kings County,1640,1740,1970,2440,2700,11231,2098.0,2011
12351,36,Kings County,1120,1190,1350,1670,1850,11232,1436.0,2011
12352,36,Kings County,1040,1110,1250,1550,1720,11233,1334.0,2011
12353,36,Kings County,1190,1260,1430,1770,1960,11234,1522.0,2011
12354,36,Kings County,1040,1110,1250,1550,1720,11235,1334.0,2011
12355,36,Kings County,1170,1250,1410,1750,1930,11236,1502.0,2011
12356,36,Kings County,1040,1110,1250,1550,1720,11237,1334.0,2011
12357,36,Kings County,1200,1270,1440,1780,1980,11238,1534.0,2011
12358,36,Kings County,1040,1110,1250,1550,1720,11239,1334.0,2011
12359,36,Kings County,1060,1130,1280,1590,1760,11243,1364.0,2011
