,StateName,CountyName,rent0,rent1,rent2,rent3,rent4,ZIP,Rent_Mean,year
14293,New York,Kings County,1550,1620,1920,2500,2940,11201,2106.0,2013
14294,New York,Kings County,1070,1120,1330,1730,2040,11202,1458.0,2013
14295,New York,Kings County,1010,1050,1250,1630,1920,11203,1372.0,2013
14296,New York,Kings County,1070,1120,1330,1730,2040,11204,1458.0,2013
14297,New York,Kings County,1270,1320,1570,2040,2410,11205,1722.0,2013
14298,New York,Kings County,900,940,1120,1460,1720,11206,1228.0,2013
14299,New York,Kings County,1020,1060,1260,1640,1930,11207,1382.0,2013
14300,New York,Kings County,1100,1150,1360,1770,2080,11208,1492.0,2013
14301,New York,Kings County,1150,1200,1420,1850,2180,11209,1560.0,2013
14302,New York,Kings County,990,1040,1230,1600,1890,11210,1350.0,2013
14303,New York,Kings County,1240,1290,1530,1990,2350,11211,1680.0,2013
14304,New York,Kings County,970,1010,1200,1560,1840,11212,1316.0,2013
14305,New York,Kings County,970,1010,1200,1560,1840,11213,1316.0,2013
14306,New York,Kings County,1000,1050,1240,1610,1900,11214,1360.0,2013
14307,New York,Kings County,1560,1630,1930,2510,2960,11215,2118.0,2013
14308,New York,Kings County,1020,1060,1260,1640,1930,11216,1382.0,2013
14309,New York,Kings County,1570,1640,1940,2520,2970,11217,2128.0,2013
14310,New York,Kings County,1130,1180,1400,1820,2150,11218,1536.0,2013
14311,New York,Kings County,1070,1110,1320,1720,2020,11219,1448.0,2013
14312,New York,Kings County,1070,1120,1330,1730,2040,11220,1458.0,2013
14313,New York,Kings County,1040,1090,1290,1680,1980,11221,1416.0,2013
14314,New York,Kings County,1200,1260,1490,1940,2280,11222,1634.0,2013
14315,New York,Kings County,1000,1050,1240,1610,1900,11223,1360.0,2013
14316,New York,Kings County,800,840,990,1290,1520,11224,1088.0,2013
14317,New York,Kings County,960,1000,1190,1550,1820,11225,1304.0,2013
14318,New York,Kings County,1010,1050,1250,1630,1920,11226,1372.0,2013
14319,New York,Kings County,1130,1180,1400,1820,2150,11228,1536.0,2013
14320,New York,Kings County,1020,1060,1260,1640,1930,11229,1382.0,2013
14321,New York,Kings County,1080,1130,1340,1740,2050,11230,1468.0,2013
14322,New York,Kings County,1600,1670,1980,2580,3030,11231,2172.0,2013
14323,New York,Kings County,1150,1200,1420,1850,2180,11232,1560.0,2013
14324,New York,Kings County,1010,1050,1250,1630,1920,11233,1372.0,2013
14325,New York,Kings County,1190,1240,1470,1910,2250,11234,1612.0,2013
14326,New York,Kings County,1040,1090,1290,1680,1980,11235,1416.0,2013
14327,New York,Kings County,1160,1210,1440,1870,2210,11236,1578.0,2013
14328,New York,Kings County,1070,1110,1320,1720,2020,11237,1448.0,2013
14329,New York,Kings County,1230,1280,1520,1980,2330,11238,1668.0,2013
14330,New York,Kings County,1020,1060,1260,1640,1930,11239,1382.0,2013
14331,New York,Kings County,1070,1120,1330,1730,2040,11243,1458.0,2013
14332,New York,Kings County,1070,1120,1330,1730,2040,11247,1458.0,2013
14333,New York,Kings County,1070,1120,1330,1730,2040,11249,1458.0,2013
