,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,State,CountyName,rent0,rent1,rent2,rent3,rent4
0,9059,244,161,156,331,232,177,397,230,247,456,765,1135,1086,916,1464,1062,11001,2011,36,Queens County,1300,1390,1570,1950,2150
1,5131,149,221,163,130,252,271,165,109,199,391,400,777,570,614,476,244,11004,2011,36,Queens County,1130,1200,1360,1690,1870
2,1356,22,42,85,76,74,54,34,68,39,145,89,247,163,46,31,141,11005,2011,36,Queens County,1180,1260,1420,1760,1950
3,13438,230,313,281,509,499,219,455,380,344,687,1172,1874,1526,1426,1822,1701,11040,2011,36,Queens County,1440,1530,1730,2140,2370
4,9910,1306,732,481,740,601,513,392,431,382,672,802,914,772,352,517,303,11101,2011,36,Queens County,1120,1190,1350,1670,1850
5,13687,1407,601,734,884,913,722,495,707,713,1371,1182,1318,1034,708,507,391,11102,2011,36,Queens County,1240,1320,1490,1850,2040
6,16145,1115,828,724,826,821,701,789,926,824,1582,1527,2096,1267,816,695,608,11103,2011,36,Queens County,1230,1310,1480,1830,2030
7,11757,744,601,664,542,636,623,470,643,386,1399,1306,1540,929,641,334,299,11104,2011,36,Queens County,1150,1230,1390,1720,1910
8,16319,1200,873,760,801,791,465,509,710,837,1654,1800,2227,1305,916,820,651,11105,2011,36,Queens County,1230,1310,1480,1830,2030
9,16554,1967,985,859,1019,870,563,560,1051,645,1369,1753,1781,1277,783,778,294,11106,2011,36,Queens County,1130,1200,1360,1690,1870
10,1441,38,11,29,23,12,0,0,29,7,20,96,215,206,222,119,414,11109,2011,36,Queens County,1180,1260,1420,1760,1950
11,19094,1830,1349,933,1121,1105,1128,587,840,797,1434,1749,2417,1610,911,780,503,11354,2011,36,Queens County,1230,1310,1480,1830,2030
12,28719,3124,1460,1940,1596,1737,1794,1490,1288,1286,2737,2588,3096,1779,1286,812,706,11355,2011,36,Queens County,1160,1240,1400,1730,1920
13,7453,287,188,191,456,489,185,371,359,436,717,819,1090,734,358,438,335,11356,2011,36,Queens County,1370,1460,1650,2040,2260
14,14900,348,640,615,699,585,709,605,704,307,851,1259,2059,1845,1313,1212,1149,11357,2011,36,Queens County,1430,1520,1720,2130,2360
15,13585,776,562,500,648,637,645,422,510,343,990,1231,2220,1479,827,1022,773,11358,2011,36,Queens County,1290,1370,1550,1920,2130
16,8798,532,116,339,284,229,329,376,381,236,566,788,1334,1130,601,871,686,11360,2011,36,Queens County,1180,1260,1420,1760,1950
17,10535,443,342,458,497,362,354,509,361,350,747,954,1619,1134,794,1040,571,11361,2011,36,Queens County,1350,1440,1630,2020,2240
18,6823,234,194,459,287,234,223,174,251,81,425,534,983,793,667,665,619,11362,2011,36,Queens County,1180,1260,1420,1760,1950
19,2608,60,33,52,86,78,199,61,71,61,101,212,370,234,255,319,416,11363,2011,36,Queens County,1180,1260,1420,1760,1950
20,13543,713,488,420,539,505,576,645,422,315,1101,1373,2160,1662,1000,931,693,11364,2011,36,Queens County,1360,1450,1640,2030,2250
21,15106,972,713,712,886,665,812,765,530,638,1103,1461,2046,1580,786,876,561,11365,2011,36,Queens County,1210,1290,1460,1810,2000
22,4460,255,154,82,93,135,263,212,119,85,283,479,596,388,371,527,418,11366,2011,36,Queens County,1160,1240,1400,1730,1920
23,14352,1240,964,810,851,737,708,487,728,561,1012,1368,1504,1498,757,599,528,11367,2011,36,Queens County,1100,1180,1330,1650,1820
24,27600,2030,1724,1839,1816,1515,1584,1287,1677,1341,2695,3250,3313,1548,701,870,410,11368,2011,36,Queens County,1210,1290,1460,1810,2000
25,11043,625,479,579,691,516,618,500,533,498,818,1329,1622,961,566,409,299,11369,2011,36,Queens County,1300,1390,1570,1950,2150
26,8759,676,297,345,334,429,454,537,373,339,752,1067,1022,778,601,347,408,11370,2011,36,Queens County,1290,1380,1560,1930,2140
27,24068,2016,958,1437,1243,1467,1746,1330,1255,900,2016,2854,3278,1439,874,655,600,11372,2011,36,Queens County,1100,1180,1330,1650,1820
28,31551,2190,1926,2024,2229,1938,1882,1734,1670,1404,2852,3657,3364,2000,1149,812,720,11373,2011,36,Queens County,1160,1240,1400,1730,1920
29,19350,1232,998,697,1066,944,1235,826,1067,971,1465,1865,2451,1602,1031,1088,812,11374,2011,36,Queens County,1200,1280,1450,1800,1990
30,32035,1990,906,1360,1276,1105,1001,1036,1288,1072,2338,3185,4180,3474,2258,3070,2496,11375,2011,36,Queens County,1290,1380,1560,1930,2140
31,31938,1935,1683,1600,1780,1802,2078,1975,1627,1616,2716,3669,4302,2155,1113,1164,723,11377,2011,36,Queens County,1150,1230,1390,1720,1910
