,State,CountyName,rent0,rent1,rent2,rent3,rent4,ZIP,year
0,36,Queens County,1300,1390,1570,1950,2150,11001,2011
1,36,Queens County,1130,1200,1360,1690,1870,11004,2011
2,36,Queens County,1180,1260,1420,1760,1950,11005,2011
3,36,Queens County,1440,1530,1730,2140,2370,11040,2011
4,36,Queens County,1120,1190,1350,1670,1850,11101,2011
5,36,Queens County,1240,1320,1490,1850,2040,11102,2011
6,36,Queens County,1230,1310,1480,1830,2030,11103,2011
7,36,Queens County,1150,1230,1390,1720,1910,11104,2011
8,36,Queens County,1230,1310,1480,1830,2030,11105,2011
9,36,Queens County,1130,1200,1360,1690,1870,11106,2011
10,36,Queens County,1180,1260,1420,1760,1950,11109,2011
11,36,Queens County,1230,1310,1480,1830,2030,11354,2011
12,36,Queens County,1160,1240,1400,1730,1920,11355,2011
13,36,Queens County,1370,1460,1650,2040,2260,11356,2011
14,36,Queens County,1430,1520,1720,2130,2360,11357,2011
15,36,Queens County,1290,1370,1550,1920,2130,11358,2011
16,36,Queens County,1180,1260,1420,1760,1950,11360,2011
17,36,Queens County,1350,1440,1630,2020,2240,11361,2011
18,36,Queens County,1180,1260,1420,1760,1950,11362,2011
19,36,Queens County,1180,1260,1420,1760,1950,11363,2011
20,36,Queens County,1360,1450,1640,2030,2250,11364,2011
21,36,Queens County,1210,1290,1460,1810,2000,11365,2011
22,36,Queens County,1160,1240,1400,1730,1920,11366,2011
23,36,Queens County,1100,1180,1330,1650,1820,11367,2011
24,36,Queens County,1210,1290,1460,1810,2000,11368,2011
25,36,Queens County,1300,1390,1570,1950,2150,11369,2011
26,36,Queens County,1290,1380,1560,1930,2140,11370,2011
27,36,Queens County,1100,1180,1330,1650,1820,11372,2011
28,36,Queens County,1160,1240,1400,1730,1920,11373,2011
29,36,Queens County,1200,1280,1450,1800,1990,11374,2011
30,36,Queens County,1290,1380,1560,1930,2140,11375,2011
31,36,Queens County,1150,1230,1390,1720,1910,11377,2011
32,36,Queens County,1160,1240,1400,1730,1920,11378,2011
33,36,Queens County,1200,1280,1450,1800,1990,11379,2011
34,36,Queens County,1130,1200,1360,1690,1870,11385,2011
35,36,Queens County,1100,1170,1320,1640,1810,11411,2011
36,36,Queens County,1130,1200,1360,1690,1870,11412,2011
37,36,Queens County,1430,1520,1720,2130,2360,11413,2011
38,36,Queens County,1310,1400,1580,1960,2170,11414,2011
39,36,Queens County,1150,1230,1390,1720,1910,11415,2011
40,36,Queens County,1250,1330,1500,1860,2060,11416,2011
41,36,Queens County,1180,1260,1420,1760,1950,11417,2011
42,36,Queens County,1150,1230,1390,1720,1910,11418,2011
43,36,Queens County,1210,1290,1460,1810,2000,11419,2011
44,36,Queens County,1250,1330,1510,1870,2070,11420,2011
45,36,Queens County,1170,1250,1410,1750,1930,11421,2011
