,bath,bed,furnished,price,size,street,where
0,1 bath,2 beds,0,"$2,195",900 ft²,108-02 72nd Avenue #6,
1,1.5 baths,3 beds,0,"$2,350",,72-14 69th Place #1R,
2,2 baths,3 beds,0,"$4,583","1,285 ft²",42-51 Hunter Street #PHB,
3,1 bath,2 beds,0,"$2,800","1,400 ft²",10-57 Jackson Avenue PENTHOUSE-/-,
4,2 baths,4 beds,0,"$2,695",,1917 Gates Avenue #1B,
5,1 bath,3 beds,0,"$2,490","1,000 ft²",28-08 Crescent Street #12A,Astoria
6,1 bath,,0,"$1,385",550 ft²,94-10 60th Avenue #4J,
7,1 bath,,0,"$2,510",,4545 Center Boulevard #3214,
8,1 bath,,0,"$2,560",,4545 Center Boulevard #3504,
9,1 bath,3 beds,0,"$2,895",,24-11 35th Street #1,Astoria
10,1 bath,1 bed,0,"$1,725",700 ft²,84-11 Lander Street #11,
11,1 bath,2 beds,0,"$2,500","1,000 ft²",18-36 21st Dr #2F,Astoria
12,1.5 baths,3 beds,0,"$2,850",,54-38 Arnold Avenue #2A,
13,1 bath,2 beds,0,"$2,100",,47-25 48th Street #5B,
14,2 baths,2 beds,0,"$4,250",,10-50 Jackson Avenue #7B,Long Island City
15,1 bath,,0,"$1,600",519 ft²,153-30 89th Avenue #804,
16,1 bath,3 beds,0,"$2,600",,27-47 27th Street #2F,Astoria
17,1.5 baths,3 beds,0,"$2,650","1,100 ft²",75-63 113rd Street #3,
18,1 bath,2 beds,0,"$2,000",,44-01 30th Avenue #2A,Astoria
19,1 bath,,0,"$1,410",468 ft²,97-30 57th Avenue #UNI3A,
20,1 bath,,0,"$1,410",489 ft²,97-22 57th Avenue #MEX5N,
21,1 bath,,0,"$1,410",468 ft²,97-22 57th Avenue #MEX10A,
22,1 bath,2 beds,0,"$2,125","1,077 ft²",97-15 Horace Harding Expressway #COL16C,
23,1 bath,1 bed,0,"$1,710",714 ft²,97-22 57th Avenue #MEX4G,
24,1 bath,2 beds,0,"$2,125","1,077 ft²",97-07 Horace Harding Expressway #BRZ8C,
25,1 bath,1 bed,0,"$1,630",714 ft²,97-20 57th Avenue #CAN17G,
26,1 bath,2 beds,0,"$2,115","1,077 ft²",97-15 Horace Harding Expressway #COL8C,
27,1 bath,1 bed,0,"$1,670",714 ft²,97-05 Horace Harding Expressway #ARG1G,
28,1 bath,1 bed,0,"$3,400",850 ft²,23-10 41st Avenue #17A,Long Island City
29,1 bath,2 beds,0,"$3,925",,45-50 Pearson Street #6K,
30,1 bath,1 bed,0,"$1,800",,21-23 27th Street #D1,Astoria
31,1 bath,1 bed,0,"$1,834",,3252 33rd Street #C9,Long Island City
32,1 bath,1 bed,0,"$1,560",,41-12 Elbertson Street #6C,
33,1 bath,1 bed,0,"$1,900",,25-73 45th Street #3B,Astoria
34,1 bath,1 bed,0,"$1,850",,2835 34th Street #35,Astoria
35,1 bath,1 bed,0,"$1,725",900 ft²,189-14 Crocheron Avenue #215,
36,1 bath,,0,"$1,450",600 ft²,189-14 Crocheron Avenue #111,
37,1 bath,,0,"$1,400",550 ft²,189-14 Crocheron Avenue #412,
38,1 bath,,0,"$1,300",,19-36 78th Street #1,Astoria
39,1 bath,2 beds,0,"$2,350",,31-64 21st #10,Astoria
40,1 bath,2 beds,0,"$2,350",,31-64 21st #10,Astoria
41,1 bath,2 beds,0,"$2,395",,31-72 31st #3N,Astoria
42,2 baths,2 beds,0,"$3,950","1,000 ft²",1050 Jackson Avenue #2B,Long Island City
43,1.5 baths,3 beds,0,"$2,620",743 ft²,560 Fairview Avenue #2R,
44,1 bath,2 beds,0,"$2,150",,30-15 49st #3N,
45,1 bath,2 beds,0,"$2,150",,30-15 49st #3N,
46,1 bath,2 beds,0,"$2,450",,30-15 49st #1S,
47,1.5 baths,1 bed,0,"$2,500",,1825 Palmetto Street #1F,
48,1 bath,1 bed,0,"$3,400",,2-40 51st Avenue #3A,
