	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
1	40.715045	-74.016115	2013-06-17T14:37:14.000	2013-06-17T14:32:06.000	40.712108	-74.0105	0.0	0.5
3	40.668347	-73.980303	2013-10-30T20:02:12.000	2013-10-30T19:41:24.000	40.72503	-74.005473	5.45	5.8
5	40.741152	-73.987977	2013-07-09T11:33:00.000	2013-07-09T11:12:00.000	40.71195	-74.012128	1.5	2.57
6	40.725672	-74.004018	2013-11-17T12:37:31.000	2013-11-17T12:23:10.000	40.708032	-73.999916	0.0	1.9
14	40.743872	-73.926382	2013-10-07T12:48:00.000	2013-10-07T12:18:00.000	40.706737	-74.017225	0.0	9.54
19	40.739366	-73.993954	2013-03-04T09:46:07.000	2013-03-04T09:40:46.000	40.725644	-74.003933	1.62	1.1
24	40.727555	-73.994337	2013-04-04T21:20:00.000	2013-04-04T21:16:00.000	40.722392	-73.986297	1.38	0.76
26	40.743462	-73.9798	2013-07-11T21:26:00.000	2013-07-11T21:23:00.000	40.733852	-73.986687	0.0	0.76
38	40.728638	-74.004928	2013-12-14T00:46:10.000	2013-12-14T00:39:52.000	40.707666	-74.012168	1.7	1.9
43	40.725034	-73.998879	2013-11-12T13:44:26.000	2013-11-12T13:44:03.000	40.725018	-73.998699	0.0	0.0
44	40.725147	-73.999392	2013-02-24T09:54:18.000	2013-02-24T09:50:55.000	40.716115	-74.007001	0.0	0.7
46	40.716181	-73.987378	2013-07-15T16:55:58.000	2013-07-15T16:35:05.000	40.716181	-73.987378	0.0	1.8
48	40.631538	-74.013752	2013-03-17T23:31:48.000	2013-03-17T23:10:42.000	40.718423	-73.994653	0.0	8.3
51	40.720666	-73.992637	2013-10-19T19:49:30.000	2013-10-19T19:43:10.000	40.730379	-73.986338	0.0	0.7
55	40.743299	-74.007333	2013-04-09T20:17:10.000	2013-04-09T20:10:06.000	40.717103	-74.014605	0.0	2.0
59	40.733527	-74.003837	2013-02-15T02:16:00.000	2013-02-15T02:07:00.000	40.729172	-73.987017	0.0	1.02
61	40.67522	-73.94992	2013-09-04T05:45:00.000	2013-09-04T05:33:00.000	40.725722	-73.983705	3.3	4.78
67	40.738597	-73.990328	2013-10-06T12:34:17.000	2013-10-06T12:21:00.000	40.696844	-73.98465	2.7	3.3
86	40.71132	-74.006421	2013-02-11T12:38:55.000	2013-02-11T12:31:26.000	40.701766	-74.012749	0.0	1.0
89	40.742762	-73.984522	2013-01-12T12:40:51.000	2013-01-12T12:24:30.000	40.718036	-74.014926	4.0	6.0
98	40.74347	-73.985599	2013-01-11T18:51:45.000	2013-01-11T18:30:20.000	40.711134	-74.008923	0.0	4.7
99	40.71831	-73.963795	2013-09-30T22:51:00.000	2013-09-30T22:40:00.000	40.72591	-73.989545	0.0	3.3
111	40.741398	-73.997781	2013-11-21T20:18:55.000	2013-11-21T20:00:35.000	40.696294	-73.987299	1.5	3.8
123	40.713931	-74.014319	2013-07-05T16:23:22.000	2013-07-05T16:22:51.000	40.716074	-74.013551	0.0	0.2
129	40.729694	-73.990026	2013-10-04T21:18:45.000	2013-10-04T21:18:19.000	40.729694	-73.990026	0.0	0.0
138	40.80247	-73.944521	2013-07-14T21:55:22.000	2013-07-14T21:36:00.000	40.723679	-73.996319	0.0	6.2
145	40.774302	-73.957137	2013-07-27T03:50:00.000	2013-07-27T03:41:00.000	40.727577	-73.99069	2.6	3.81
146	40.749755	-73.985495	2013-11-10T23:38:00.000	2013-11-10T23:30:00.000	40.729387	-73.987925	0.0	1.93
148	40.71277	-74.009668	2013-05-10T07:43:00.000	2013-05-10T07:33:00.000	40.695627	-73.995692	0.0	2.58
149	40.72261	-73.988023	2013-05-17T21:14:43.000	2013-05-17T21:06:21.000	40.730592	-73.986175	0.0	0.7
152	40.722562	-74.009765	2013-11-06T12:16:00.000	2013-11-06T12:01:00.000	40.724705	-73.99881	0.0	2.26
159	40.730365	-73.986604	2013-10-16T02:05:02.000	2013-10-16T01:58:26.000	40.716114	-73.995518	0.0	1.4
167	40.732624	-73.990074	2013-09-26T13:59:57.000	2013-09-26T13:47:33.000	40.711671	-74.006545	0.0	4.5
170	40.722567	-73.988657	2013-02-03T10:52:00.000	2013-02-03T10:51:00.000	40.718192	-73.990808	0.0	0.41
173	40.747807	-73.97342	2013-03-13T14:10:00.000	2013-03-13T13:48:00.000	40.716777	-73.995795	0.0	2.82
177	40.716435	-74.009575	2013-03-17T18:33:00.000	2013-03-17T18:23:00.000	40.716785	-73.991482	0.0	1.36
185	40.756844	-73.989583	2013-01-19T15:28:38.000	2013-01-19T15:12:46.000	40.732578	-73.981609	2.6	2.4
