	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
1	40.72318649291992	-73.94222259521484	0011-01-03T20:02:34.000	0011-01-03T19:57:48.000	40.72908020019531	-73.9538345336914	2.0	1.1
2	40.634246826171875	-74.02509307861328	0028-01-06T00:23:00.000	0028-01-06T00:00:03.000	40.684532165527344	-73.97856903076172	0.0	6.09
4	40.70987319946289	-74.01471710205078	0001-01-11T01:43:23.000	0001-01-11T01:14:08.000	40.72185134887695	-73.95026397705078	0.0	5.7
6	40.60699462890625	-73.99159240722656	0022-01-03T21:38:26.000	0022-01-03T21:08:16.000	40.684627532958984	-73.97769927978516	4.0	7.13
8	40.69022750854492	-73.994140625	0028-01-12T15:45:16.000	0028-01-12T15:30:36.000	40.680572509765625	-73.9520263671875	0.0	2.48
10	40.68710708618164	-73.97962951660156	0018-01-08T19:29:34.000	0018-01-08T19:27:43.000	40.6827278137207	-73.97640991210938	0.0	0.3
11	40.67290115356445	-73.96283721923828	0013-01-12T00:45:46.000	0013-01-12T00:31:26.000	40.69228744506836	-73.98690795898438	2.6	2.91
12	40.72898864746094	-73.98300170898438	0025-01-03T19:40:28.000	0025-01-03T19:17:06.000	40.675472259521484	-74.01583862304688	5.0	7.35
14	40.711883544921875	-73.96263122558594	0026-01-03T16:54:56.000	0026-01-03T16:45:36.000	40.704925537109375	-73.94278717041016	2.38	1.62
15	40.65836715698242	-73.96052551269531	0012-01-12T18:31:07.000	0012-01-12T18:20:06.000	40.68941116333008	-73.97310638427734	3.45	2.55
19	40.69978713989258	-73.9240493774414	0010-01-06T00:49:33.000	0010-01-06T00:38:32.000	40.71892166137695	-73.95645141601562	0.0	2.6
20	40.7033805847168	-73.99141693115234	0005-01-06T18:24:48.000	0005-01-06T18:20:17.000	40.69343185424805	-73.99945831298828	1.3	1.01
22	40.67298126220703	-73.9832534790039	0031-01-10T11:09:20.000	0031-01-10T11:03:19.000	40.67731475830078	-73.9735107421875	1.8	0.84
