	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
0	40.770192	-73.918685	2014-09-20T01:59:00.000	2014-09-20T01:33:00.000	40.735232	-73.99188	0.0	6.27
1	40.767192	-73.971332	2014-05-19T10:43:00.000	2014-05-19T10:35:00.000	40.77288	-73.981728	0.0	0.82
2	40.760112	-73.972257	2014-05-07T07:05:17.000	2014-05-07T06:55:34.000	40.777891	-73.952068	2.0	1.9
3	40.77365	-73.963809	2014-03-25T19:54:10.000	2014-03-25T19:50:35.000	40.772541	-73.958471	0.0	0.3
4	40.749665	-73.991557	2014-07-07T16:12:00.000	2014-07-07T16:00:00.000	40.761137	-73.9775	0.0	1.34
5	40.80224	-73.943427	2014-04-09T00:30:00.000	2014-04-09T00:09:00.000	40.72141	-73.998935	2.0	6.57
6	40.758405	-73.985885	2014-06-15T18:55:00.000	2014-06-15T18:46:00.000	40.755743	-73.967808	0.0	1.15
7	40.72362	-74.00375	2014-02-28T15:12:00.000	2014-02-28T15:01:00.000	40.719312	-74.008765	1.6	0.82
8	40.748501	-73.988821	2014-07-27T15:35:07.000	2014-07-27T15:24:03.000	40.760259	-73.97194	0.0	1.7
9	40.768407	-73.963815	2014-11-26T08:37:00.000	2014-11-26T08:21:00.000	40.738512	-73.977497	2.4	2.58
10	40.757005	-73.982702	2014-08-24T18:48:00.000	2014-08-24T18:05:00.000	40.641402	-73.788162	14.33	17.81
11	40.74151	-73.98517	2014-05-01T11:41:00.000	2014-05-01T11:24:00.000	40.753992	-73.974502	2.3	1.55
12	40.752182	-73.97875	2014-01-16T20:19:00.000	2014-01-16T20:16:00.000	40.74686	-73.984002	0.0	0.54
13	40.777362	-73.98191	2014-09-19T15:38:00.000	2014-09-19T15:37:00.000	40.776287	-73.986925	0.0	0.42
14	40.821267	-73.927557	2014-06-24T23:16:38.000	2014-06-24T22:50:09.000	40.758318	-73.978589	6.75	7.2
15	40.664909	-73.9612	2014-12-27T19:47:56.000	2014-12-27T19:07:46.000	40.754871	-73.991461	0.0	7.7
16	40.762992	-73.989008	2014-02-07T23:32:00.000	2014-02-07T23:19:00.000	40.742285	-74.004252	0.0	1.94
17	40.741227	-73.990811	2014-02-22T22:01:47.000	2014-02-22T21:54:27.000	40.738112	-74.004114	1.5	0.9
18	40.756696	-73.990309	2014-04-18T18:16:51.000	2014-04-18T17:46:07.000	40.769404	-73.96917	0.0	1.8
19	40.760753	-73.998189	2014-04-23T20:59:46.000	2014-04-23T20:53:04.000	40.751782	-73.979794	2.4	1.1
20	40.737107	-73.99617	2014-08-03T14:25:00.000	2014-08-03T14:19:00.000	40.722527	-73.988662	1.4	1.51
21	40.718037	-74.015412	2014-09-07T20:32:00.000	2014-09-07T20:23:00.000	40.707117	-74.012027	0.0	1.7
22	40.74753	-73.985225	2014-11-22T02:22:00.000	2014-11-22T02:16:00.000	40.737172	-73.98429	0.0	1.04
23	40.782993	-73.981473	2014-04-30T22:58:36.000	2014-04-30T22:47:54.000	40.75747	-73.966618	0.0	2.7
24	40.721147	-73.987842	2014-04-29T01:19:00.000	2014-04-29T01:10:00.000	40.739137	-74.001192	0.0	2.08
25	40.76748	-73.981375	2014-05-25T23:16:21.000	2014-05-25T23:13:38.000	40.776707	-73.979388	0.0	0.6
26	40.762952	-73.981702	2014-02-05T19:17:00.000	2014-02-05T19:01:00.000	40.750112	-73.97265	3.0	1.39
27	40.664143	-73.980801	2014-11-13T00:06:16.000	2014-11-12T23:43:27.000	40.714755	-73.990964	2.0	4.8
28	40.769972	-73.95146	2014-11-13T14:35:50.000	2014-11-13T14:33:46.000	40.76618	-73.954204	0.0	0.2
29	40.75892	-73.97687	2014-08-24T17:09:30.000	2014-08-24T17:01:49.000	40.775728	-73.964803	1.6	1.3
30	40.788242	-73.976217	2014-07-19T02:15:00.000	2014-07-19T02:08:00.000	40.77793	-73.95676	1.6	1.4
31	40.7048	-74.010732	2014-02-17T19:28:00.000	2014-02-17T19:21:00.000	40.715512	-74.00484	0.6	1.16
32	40.644526	-73.796449	2014-08-07T16:25:40.000	2014-08-07T15:25:03.000	40.753905	-73.979015	10.5	15.0
33	40.72968	-73.986898	2014-05-14T02:05:26.000	2014-05-14T01:59:35.000	40.767532	-73.959075	0.0	2.9
34	40.780107	-73.946953	2014-04-27T20:55:00.000	2014-04-27T20:41:00.000	40.732692	-73.99002	3.88	4.37
35	40.721407	-73.98776	2014-02-19T18:12:00.000	2014-02-19T17:47:00.000	40.754592	-73.979335	0.0	2.96
36	40.760816	-73.97495	2014-09-16T10:04:02.000	2014-09-16T09:45:15.000	40.771081	-73.967978	2.5	0.8
